,year,month,day,dotw,start_hour,start_minute,end_hour,end_minute,event,value,units,caregiver,age
1308,2020,2,28,,12,25,NA,NA,wet,NA,,ap,18004
1309,2020,2,28,,14,5,NA,NA,wet,NA,,ap,18004
1310,2020,2,28,,9,20,NA,NA,bottle,2,oz,ap,18004
1311,2020,2,28,,10,50,NA,NA,water,NA,,ap,18004
1312,2020,2,28,,12,35,NA,NA,bottle,3,oz,ap,18004
1313,2020,2,28,,11,15,12,3,nap,NA,,ap,18004
1314,2020,1,29,,8,10,NA,NA,wet,NA,,kc,18004
1315,2020,1,29,,9,10,NA,NA,bowel,NA,,hannah,18004
1316,2020,1,29,,10,11,NA,NA,wet,NA,,kc,18004
1317,2020,1,29,,11,50,NA,NA,wet,NA,,ap,18004
1318,2020,1,29,,13,59,NA,NA,dry,NA,,kc,18004
1319,2020,1,29,,14,17,NA,NA,wet,NA,,kc,18004
1320,2020,1,29,,9,50,NA,NA,water,NA,,kc,18004
1321,2020,1,29,,12,31,NA,NA,bottle,4,oz,kc,18004
1322,2020,1,29,,14,0,NA,NA,bottle,2,oz,kc,18004
1323,2020,1,29,,11,15,11,45,nap,NA,,ap,18004
1324,2020,2,12,,8,15,NA,NA,wet,NA,,ap,18004
1325,2020,2,12,,10,15,NA,NA,wet,NA,,kc,18004
1326,2020,2,12,,13,10,NA,NA,wet,NA,,kc,18004
1327,2020,2,12,,11,0,NA,NA,bottle,3,oz,kc,18004
1328,2020,2,12,,13,6,NA,NA,bottle,3,oz,kc,18004
1329,2020,2,12,,14,0,NA,NA,water,NA,,kc,18004
1330,2020,2,12,,11,20,13,0,nap,NA,,kc,18004
1331,2020,3,4,,8,20,NA,NA,wet,NA,,ap,18004
1332,2020,3,4,,10,50,NA,NA,wet,NA,,kc,18004
1333,2020,3,4,,13,8,NA,NA,wet,NA,,kc,18004
1334,2020,3,4,,15,0,NA,NA,wet,NA,,kc,18004
1335,2020,3,4,,9,0,NA,NA,bottle,3,oz,kc,18004
1336,2020,3,4,,11,0,NA,NA,bottle,2,oz,kc,18004
1337,2020,3,4,,14,0,NA,NA,water,NA,,kc,18004
1338,2020,3,4,,11,20,13,6,nap,NA,,kc,18004
1339,2020,2,17,,8,10,NA,NA,wet,NA,,ap,18004
1340,2020,2,17,,10,40,NA,NA,wet,NA,,ij,18004
1341,2020,2,17,,13,50,NA,NA,wet,NA,,ij,18004
1342,2020,2,17,,14,30,NA,NA,wet,NA,,kc,18004
1343,2020,2,17,,8,0,NA,NA,bottle,3,oz,ap,18004
1344,2020,2,17,,11,0,NA,NA,bottle,3,oz,ij,18004
1345,2020,2,17,,14,9,NA,NA,water,NA,,ij,18004
1346,2020,2,17,,11,20,13,20,nap,NA,,ij,18004
1347,2021,1,25,,8,30,NA,NA,wet,NA,,ap,18004
1348,2021,1,25,,10,45,NA,NA,wet,NA,,jd,18004
1349,2021,1,25,,14,0,NA,NA,wet,NA,,jd,18004
1350,2021,1,25,,14,55,NA,NA,dry,NA,,mb,18004
1351,2021,1,25,,11,30,13,0,nap,NA,,mb,18004
1352,2021,1,29,,8,0,NA,NA,wet,NA,,jd,18004
1353,2021,1,29,,9,35,NA,NA,bowel,NA,,aym,18004
1354,2021,1,29,,10,29,NA,NA,bowel,NA,,aym,18004
1355,2021,1,29,,13,5,NA,NA,wet,NA,,aym,18004
1356,2021,1,29,,11,30,13,0,nap,NA,,aym,18004
1357,2021,3,28,,14,0,NA,NA,ride_atv,NA,,dlm,18004
1358,2021,3,28,,12,0,NA,NA,skill_rightleft,NA,,dlm,18004
1359,2021,5,11,,15,0,NA,NA,trait_mass,15,kg,rainbow,18004
1360,2021,6,7,,10,0,NA,NA,skill_count_to_89,NA,,jsm,18004
1361,2021,6,12,,13,0,NA,NA,skill_jump,NA,,jsmkch,18004
1362,2021,6,14,,16,30,NA,NA,skill_potty_pee,NA,,kch,18004
1363,2021,12,17,,12,0,NA,NA,skill_potty_pee_undies_noaccidents,NA,,jsm,18004
